slot,time_header,price_yuan_per_kwh,load_kw,pv_forecast_kw,plan_grid_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh
25,04:10:00,0.4401,3561.9581,0.0,593.6596833333333,0.0,0.0,10050.0,10050.0
26,04:20:00,0.4389,3556.7183,0.0,592.7863833333333,0.0,0.0,10050.0,10050.0
27,04:30:00,0.4364,3560.0272,0.0,593.3378666666666,0.0,0.0,10050.0,10050.0
28,04:40:00,0.4393,3580.654,0.5994,596.6757666666666,0.0,0.0,10050.0,10050.0
29,04:50:00,0.4422,3586.916,0.2345,597.78025,0.0,0.0,10050.0,10050.0
30,05:00:00,0.4395,3571.2635,0.2885,595.1624999999999,0.0,0.0,10050.0,10050.0
31,05:10:00,0.4333,3562.3171,18.6781,590.6065,0.0,0.0,10050.0,10050.0
32,05:20:00,0.4439,3591.3809,54.4698,589.4851833333333,0.0,0.0,10050.0,10050.0
33,05:30:00,0.4301,3579.7045,108.9718,578.4554499999999,0.0,0.0,10050.0,10050.0
34,05:40:00,0.3713,3486.119,184.1603,1383.6597833333333,833.3333333333333,0.0,10050.0,10800.0
35,05:50:00,0.5708,3823.8994,277.0582,591.1401999999999,0.0,0.0,10800.0,10800.0
36,06:00:00,0.9099,4398.0727,388.5494,0.0,0.0,668.2538833333333,10800.0,10057.495685185186
37,06:10:00,0.9368,4454.0123,521.2803,0.0,0.0,655.4553333333333,10057.495685185186,9329.211981481481
38,06:20:00,0.8758,4371.7919,672.7677,0.0,0.0,616.5040333333334,9329.211981481481,8644.2075
39,06:30:00,0.8759,4392.953,844.2261,0.0,0.0,591.4544833333334,8644.2075,7987.0358518518515
40,06:40:00,0.8601,4384.5956,1039.6744,0.0,0.0,557.4868666666666,7987.0358518518515,7367.606
41,06:50:00,0.8442,4434.7757,1259.3375,0.0,0.0,529.2397,7367.606,6779.5618888888885
42,07:00:00,0.8334,4523.4561,1508.6318,0.0,0.0,502.4707166666667,6779.5618888888885,6221.261092592593
43,07:10:00,0.8092,4524.0721,1791.4107,0.0,0.0,455.4435666666667,6221.261092592593,5715.212685185185
44,07:20:00,0.7972,4545.8867,2085.4865,0.0,0.0,410.06669999999997,5715.212685185185,5259.583018518519
45,07:30:00,0.7644,4523.2418,2381.2611,0.0,0.0,356.99678333333327,5259.583018518519,4862.919925925926
46,07:40:00,0.6899,4383.3566,2683.1752,0.0,0.0,283.36356666666666,4862.919925925926,4548.071518518518
47,07:50:00,0.86,4910.4599,2986.3552,0.0,0.0,320.6841166666666,4548.071518518518,4191.755833333333
48,08:00:00,1.1617,5799.7327,3289.204,0.0,0.0,418.4214499999999,4191.755833333333,3726.8431111111113
49,08:10:00,1.1683,5884.826,3593.3613,0.0,0.0,381.9107833333333,3726.8431111111113,3302.4977962962967
50,08:20:00,1.0956,5748.0713,3890.7332,0.0,0.0,309.5563499999999,3302.4977962962967,2958.5462962962965
51,08:30:00,1.0849,5769.0581,4181.3417,0.0,0.0,264.61940000000004,2958.5462962962965,2664.524740740741
52,08:40:00,1.061,5754.2105,4471.7657,0.0,0.0,213.74080000000004,2664.524740740741,2427.034962962963
53,08:50:00,1.043,5824.1807,4752.8272,0.0,0.0,178.55891666666668,2427.034962962963,2228.6361666666667
54,09:00:00,1.036,5954.2601,5021.9074,0.0,0.0,155.3921166666667,2228.6361666666667,2055.978259259259
55,09:10:00,1.0147,5958.9696,5285.4126,0.0,0.0,112.25950000000012,2055.978259259259,1931.2454814814814
56,09:20:00,0.9922,5929.5554,5543.1742,0.0,0.0,64.39686666666663,1931.2454814814814,1859.693407407407
57,09:30:00,0.97,5923.7828,5788.4093,0.0,0.0,22.56224999999995,1859.693407407407,1834.6242407407408
58,09:40:00,0.9422,5907.586,6012.1304,0.0,17.424066666666626,0.0,1834.6242407407408,1850.305900740741
59,09:50:00,0.9569,5899.1262,6216.1528,0.0,52.83776666666669,0.0,1850.305900740741,1897.8598907407413
60,10:00:00,0.9977,5902.2196,6409.5941,0.0,84.56241666666665,0.0,1897.8598907407413,1973.9660657407412
61,10:10:00,0.9919,5897.4793,6599.3808,0.0,116.98358333333331,0.0,1973.9660657407412,2079.2512907407413
62,10:20:00,0.9588,5886.7568,6766.7204,0.0,146.6606,0.0,2079.2512907407413,2211.2458307407414
63,10:30:00,0.9549,5873.4708,6914.5923,0.0,173.52025000000003,0.0,2211.2458307407414,2367.4140557407413
64,10:40:00,0.9839,5858.0308,7064.2053,0.0,201.02908333333318,0.0,2367.4140557407413,2548.3402307407414
65,10:50:00,0.799,5844.9948,7197.4315,0.0,225.40611666666655,0.0,2548.3402307407414,2751.205735740741
66,11:00:00,0.5025,5839.0587,7303.1142,0.0,244.00925000000007,0.0,2751.205735740741,2970.8140607407413
67,11:10:00,0.4662,5838.7103,7387.6848,575.1709166666666,833.3333333333333,0.0,2970.8140607407413,3720.8140607407413
68,11:20:00,0.5007,5823.4378,7459.227,0.0,272.6315333333333,0.0,3720.8140607407413,3966.182440740741
69,11:30:00,0.4827,5814.7932,7520.7191,0.0,284.32098333333334,0.0,3966.182440740741,4222.0713257407415
70,11:40:00,0.4785,5832.3951,7568.2039,179.27717139917814,468.5786380658449,0.0,4222.0713257407415,4643.7921000000015
71,11:50:00,0.4662,5712.901,7592.1539,520.1245166666665,833.3333333333333,0.0,4643.7921000000015,5393.7921000000015
72,12:00:00,0.4432,5519.4607,7601.0433,486.4028999999998,833.3333333333333,0.0,5393.7921000000015,6143.7921000000015
73,12:10:00,0.4411,5494.7907,7612.316,480.4124499999999,833.3333333333333,0.0,6143.7921000000015,6893.7921000000015
74,12:20:00,0.4551,5514.4524,7602.6524,485.29999999999995,833.3333333333333,0.0,6893.7921000000015,7643.7921000000015
75,12:30:00,0.4463,5485.829,7554.1872,488.6069666666665,833.3333333333333,0.0,7643.7921000000015,8393.792100000002
76,12:40:00,0.4113,5462.3628,7472.7384,498.2707333333332,833.3333333333333,0.0,8393.792100000002,9143.792100000002
77,12:50:00,0.5682,5566.1066,7393.4172,0.0,304.5517666666666,0.0,9143.792100000002,9417.888690000002
78,13:00:00,0.8279,5725.7548,7312.7979,0.0,264.5071833333333,0.0,9417.888690000002,9655.945155000001
79,13:10:00,0.8636,5739.4957,7194.541,0.0,242.50754999999995,0.0,9655.945155000001,9874.201950000002
80,13:20:00,0.8416,5714.6836,7053.1371,0.0,223.07558333333327,0.0,9874.201950000002,10074.969975000002
81,13:30:00,0.8618,5717.8505,6910.4064,0.0,198.7593166666667,0.0,10074.969975000002,10253.853360000001
82,13:40:00,0.8623,5708.2486,6772.4075,0.0,177.35981666666672,0.0,10253.853360000001,10413.477195000001
83,13:50:00,0.9026,5696.9182,6607.36,0.0,151.74029999999993,0.0,10413.477195000001,10550.043465000002
84,14:00:00,0.9754,5692.2983,6412.5085,0.0,120.03503333333325,0.0,10550.043465000002,10658.074995000003
85,14:10:00,1.0002,5687.1291,6214.0158,0.0,87.81445,0.0,10658.074995000003,10737.108000000002
86,14:20:00,0.9978,5678.962,6000.7112,0.0,53.62486666666655,0.0,10737.108000000002,10785.370380000002
87,14:30:00,1.0271,5669.4508,5766.9816,0.0,16.255133333333408,0.0,10785.370380000002,10800.000000000002
88,14:40:00,1.0906,5664.1948,5521.5066,0.0,0.0,23.78136666666675,10800.000000000002,10773.576259259262
89,14:50:00,0.9376,5672.7011,5268.781,0.0,0.0,67.3200166666667,10773.576259259262,10698.776240740743
90,15:00:00,0.6694,5682.2544,5009.7152,112.0898666666667,0.0,0.0,10698.776240740743,10698.776240740743
91,15:10:00,0.66,5669.0195,4743.4484,266.73269362139933,112.47084362139933,0.0,10698.776240740743,10800.000000000002
92,15:20:00,0.7217,5656.3651,4471.224,197.52351666666664,0.0,0.0,10800.000000000002,10800.000000000002
93,15:30:00,0.7308,5657.0867,4188.2025,244.81403333333324,0.0,0.0,10800.000000000002,10800.000000000002
94,15:40:00,0.7534,5662.6008,3889.3931,295.5346166666667,-0.0,0.0,10800.000000000002,10800.000000000002
95,15:50:00,0.7823,5669.2596,3594.5946,345.77750000000003,0.0,0.0,10800.000000000002,10800.000000000002
96,16:00:00,0.8055,5673.4767,3303.8878,394.93148333333335,0.0,0.0,10800.000000000002,10800.000000000002
97,16:10:00,0.8271,5671.0146,2998.4247,445.43165000000005,0.0,0.0,10800.000000000002,10800.000000000002
98,16:20:00,0.8519,5661.5926,2687.4131,495.69658333333325,0.0,0.0,10800.000000000002,10800.000000000002
99,16:30:00,0.8791,5665.8922,2383.1779,547.11905,0.0,0.0,10800.000000000002,10800.000000000002
100,16:40:00,0.9024,5689.0372,2089.1246,599.9854333333333,0.0,0.0,10800.000000000002,10800.000000000002
101,16:50:00,0.9163,5603.6614,1791.0829,635.4297499999999,0.0,0.0,10800.000000000002,10800.000000000002
102,17:00:00,0.9264,5466.7124,1501.7283,660.8306833333334,-0.0,0.0,10800.000000000002,10800.000000000002
103,17:10:00,0.9462,5467.3939,1255.1723,702.0369333333333,-0.0,0.0,10800.000000000002,10800.000000000002
104,17:20:00,0.9742,5464.727,1036.3323,738.0657833333332,0.0,0.0,10800.000000000002,10800.000000000002
105,17:30:00,0.9862,5492.4458,836.7775,775.9447166666666,0.0,0.0,10800.000000000002,10800.000000000002
106,17:40:00,0.976,5621.7308,665.2313,826.0832499999999,0.0,0.0,10800.000000000002,10800.000000000002
107,17:50:00,1.0742,5091.2126,516.6758,762.4227999999999,0.0,0.0,10800.000000000002,10800.000000000002
108,18:00:00,1.2313,4208.5688,386.6731,636.9826166666667,0.0,0.0,10800.000000000002,10800.000000000002
109,18:10:00,1.2561,4122.7611,275.7933,531.8940499999903,0.0,109.26725000000967,10800.000000000002,10678.591944444435
110,18:20:00,1.2447,4255.9358,182.9526,678.8305333333333,0.0,0.0,10678.591944444435,10678.591944444435
111,18:30:00,1.2545,4225.9524,108.3414,686.2684999999999,0.0,0.0,10678.591944444435,10678.591944444435
112,18:40:00,1.2522,4233.3384,54.3121,696.5043833333332,0.0,0.0,10678.591944444435,10678.591944444435
113,18:50:00,1.2881,4246.4625,18.6569,0.0,0.0,704.6342666666666,10678.591944444435,9895.664981481472
114,19:00:00,1.3466,4239.1795,0.2753,0.0,0.0,706.4840333333333,9895.664981481472,9110.682722222213
115,19:10:00,1.3523,4244.6684,0.2296,0.0,0.0,707.4064666666666,9110.682722222213,8324.675537037028
116,19:20:00,1.3445,4251.9187,0.6007,0.0,0.0,708.553,8324.675537037028,7537.394425925917
117,19:30:00,1.3483,4256.6813,0.0,0.0,0.0,709.4468833333333,7537.394425925917,6749.120111111102
118,19:40:00,1.349,4267.3947,0.0,0.0,0.0,711.23245,6749.120111111102,5958.861833333325
119,19:50:00,1.3473,4269.975,0.0,0.0,0.0,711.6625,5958.861833333325,5168.125722222214
120,20:00:00,1.3482,4268.6702,0.0,0.0,0.0,711.4450333333332,5168.125722222214,4377.631240740733
121,20:10:00,1.3513,4282.2245,0.0,0.0,0.0,713.7040833333333,4377.631240740733,3584.626703703696
122,20:20:00,1.34,4291.7049,0.0,0.0,0.0,715.28415,3584.626703703696,2789.8665370370295
123,20:30:00,1.3489,4291.3611,0.0,0.0,0.0,715.22685,2789.8665370370295,1995.1700370370295
124,20:40:00,1.3952,4293.9182,0.0,0.0,0.0,715.6530333333333,1995.1700370370295,1199.9999999999927
125,20:50:00,1.2226,4295.2135,0.0,715.8689166666666,0.0,0.0,1199.9999999999927,1199.9999999999927
126,21:00:00,0.9332,4302.0307,0.0,717.0051166666667,0.0,0.0,1199.9999999999927,1199.9999999999927
127,21:10:00,0.9068,4320.9618,0.0,720.1603,0.0,0.0,1199.9999999999927,1199.9999999999927
128,21:20:00,0.9371,4302.3292,0.0,717.0548666666666,0.0,0.0,1199.9999999999927,1199.9999999999927
129,21:30:00,0.9371,4322.6758,0.0,720.4459666666667,0.0,0.0,1199.9999999999927,1199.9999999999927
130,21:40:00,0.9871,4428.8083,0.0,738.1347166666666,0.0,-0.0,1199.9999999999927,1199.9999999999927
131,21:50:00,0.7764,4030.1614,0.0,671.6935666666666,0.0,-0.0,1199.9999999999927,1199.9999999999927
132,22:00:00,0.4209,3362.7419,0.0,1393.7903166666665,833.3333333333333,0.0,1199.9999999999927,1949.9999999999927
133,22:10:00,0.3859,3309.3934,0.0,1384.8989,833.3333333333333,0.0,1949.9999999999927,2699.9999999999927
134,22:20:00,0.4368,3412.9563,0.0,568.8260499999999,0.0,0.0,2699.9999999999927,2699.9999999999927
135,22:30:00,0.4198,3381.9313,0.0,1396.98855,833.3333333333333,0.0,2699.9999999999927,3449.9999999999927
136,22:40:00,0.4186,3386.5592,0.0,1397.7598666666665,833.3333333333333,0.0,3449.9999999999927,4199.999999999993
137,22:50:00,0.4241,3400.4846,0.0,566.7474333333332,0.0,0.0,4199.999999999993,4199.999999999993
138,23:00:00,0.4237,3399.2426,0.0,1399.8737666666666,833.3333333333333,0.0,4199.999999999993,4949.999999999993
139,23:10:00,0.4248,3406.9809,0.0,567.83015,0.0,0.0,4949.999999999993,4949.999999999993
140,23:20:00,0.424,3416.1518,0.0,902.6919666666677,333.33333333333434,0.0,4949.999999999993,5249.999999999994
141,23:30:00,0.422,3421.9811,0.0,1403.6635166666665,833.3333333333333,0.0,5249.999999999994,5999.999999999994
142,23:40:00,0.424,3429.6923,0.0,571.6153833333333,0.0,0.0,5999.999999999994,5999.999999999994
143,23:50:00,0.4271,3439.061,0.0,573.1768333333333,0.0,0.0,5999.999999999994,5999.999999999994
144,0:00+1,0.4276,3444.7259,0.0,574.1209833333332,0.0,0.0,5999.999999999994,5999.999999999994
